Clock, Total frames rendered, Janky frames, CPU%, PSS 
230434
1140733, 43793, 6017, 0, 14566
2051068, 46199, 5047, 30, 16646
2961477, 44761, 5854, 32, 16378
3871734, 44899, 4379, 35, 16942
4782104, 44622, 5852, 32, 17626
5692479, 44592, 5779, 31, 17772
6602763, 46487, 3575, 28, 17625
7512991, 47569, 2947, 23, 18128
8423250, 48194, 2223, 22, 18103
9333631, 48285, 2082, 20, 18773
9432957
10343187, 49734, 1659, 0, 15835
11253389, 50868, 424, 15, 16639
12163585, 50689, 367, 15, 16982
13073821, 50054, 966, 15, 17321
13984050, 50291, 668, 19, 16944
14894255, 49739, 755, 23, 17898
15804528, 47285, 1367, 26, 18001
16714814, 48818, 1172, 26, 18510
17625153, 48973, 818, 24, 19072
18535347, 49975, 869, 17, 19441
18546741
19456744, 50335, 619, 0, 15144
20366937, 50240, 972, 15, 15876
21277132, 50343, 607, 17, 16910
22187333, 50086, 910, 19, 17292
23097534, 50830, 432, 17, 17101
24007729, 51261, 62, 16, 17750
24917919, 51223, 29, 15, 18136
25828110, 45001, 14537, 25, 18761
26738333, 40529, 27793, 24, 18969
27648677, 40222, 21925, 13, 19122
27660252
28570256, 40238, 26896, 0, 15997
29480474, 40864, 20184, 26, 16496
30390817, 43149, 16468, 18, 16995
31301081, 48832, 1876, 16, 17417
32211304, 48842, 2128, 20, 17378
33121595, 48940, 2073, 23, 17855
34031795, 48483, 2028, 19, 18159
34941991, 48085, 2288, 16, 17805
35852196, 47778, 3077, 23, 18505
36762485, 48220, 2245, 27, 18105
