Clock, Total frames rendered, Janky frames, CPU%, PSS 
58730
969001, 38284, 29075, 0, 22119
1879512, 36817, 28821, 34, 19725
2790508, 38184, 28195, 31, 21339
3700812, 43998, 4384, 23, 20479
4611097, 43808, 5261, 23, 20719
5521398, 43614, 5464, 21, 26527
6431687, 39449, 23924, 31, 23859
7342252, 37302, 29859, 33, 22103
8252702, 38385, 30383, 32, 23599
9163341, 38159, 30211, 29, 23627
9176635
10086647, 38046, 30803, 0, 23049
10997204, 37896, 30703, 32, 20727
11908088, 38547, 30710, 31, 21695
12818631, 38931, 31892, 32, 22425
13729180, 37426, 31461, 31, 21125
14639704, 37520, 31819, 30, 21684
15550263, 38808, 30885, 32, 23423
16460733, 39005, 29601, 29, 23949
17371536, 35462, 30109, 32, 27709
18282130, 37975, 28814, 26, 23697
18295719
19205723, 41640, 18717, 0, 19876
20116090, 40922, 17017, 29, 23570
21026909, 41515, 12183, 31, 24394
21937680, 41847, 10997, 25, 25102
22848024, 41596, 9132, 29, 25279
23758430, 41756, 12125, 35, 25894
24668917, 42029, 9626, 32, 26502
25579348, 41447, 11948, 26, 26641
26490095, 42928, 13786, 32, 27429
27400887, 41932, 16709, 29, 26717
108508
1018895, 39692, 14264, 0, 23678
1929418, 41961, 11499, 31, 24612
2839939, 42214, 14195, 32, 25110
3750417, 40198, 17987, 36, 23338
4660943, 41285, 9535, 30, 24999
5571419, 42292, 6957, 33, 26147
6481972, 41524, 14665, 35, 25827
7392476, 40501, 13566, 38, 25236
8303079, 39061, 17538, 35, 24024
9213566, 42030, 9070, 30, 27412
9226577
10136589, 40540, 11567, 0, 24476
11047079, 40148, 15254, 33, 22819
11957584, 40562, 19350, 34, 23322
12867976, 41767, 16221, 41, 25097
13778817, 41916, 12631, 33, 25604
14689262, 41645, 10446, 34, 25699
15599846, 41347, 9515, 34, 25771
16510323, 41455, 9402, 37, 26187
17420840, 41886, 8692, 37, 26773
18331310, 40895, 12484, 33, 26081
18344422
19254431, 41385, 12973, 0, 19394
20164953, 41015, 12154, 36, 23527
21075359, 41482, 16086, 33, 24346
21985862, 40503, 17427, 26, 23936
22896386, 41094, 14917, 33, 24768
23806916, 42094, 12041, 33, 25980
24717362, 40930, 12909, 35, 25232
25627863, 41618, 11160, 40, 26200
26538358, 41530, 12292, 37, 26404
27449394, 42123, 8332, 34, 27448
94096
1004510, 35354, 32223, 0, 19229
1915160, 36925, 26096, 36, 19612
2825749, 39290, 28359, 36, 22103
3736247, 39588, 26817, 36, 22898
4647184, 38921, 21042, 34, 22435
5557732, 37357, 21924, 31, 21430
6468370, 36911, 20281, 32, 21264
7379006, 37298, 20628, 33, 21980
8289589, 35317, 22598, 33, 27067
9200344, 32203, 28834, 25, 24603
95787
1006267, 37011, 23804, 0, 20899
1917257, 39721, 19533, 39, 22555
2827827, 40700, 17554, 37, 23678
3738366, 40155, 19431, 28, 23654
4649006, 28964, 21076, 34, 22811
5559725, 39356, 20479, 31, 23405
6470232, 39895, 18007, 37, 24318
7380934, 39360, 21665, 33, 24265
8291433, 39868, 24165, 35, 25113
9202004, 38923, 20144, 44, 24454
73598
984403, 40482, 16742, 0, 23448
1894880, 40117, 16308, 30, 22938
2805352, 42771, 14076, 31, 25505
3715847, 42218, 13604, 34, 25620
4626266, 41700, 13944, 31, 25272
5536671, 41533, 13742, 27, 25636
6447519, 41927, 13339, 31, 26255
7357876, 41988, 14813, 34, 26735
8268246, 41706, 15865, 32, 26791
9178587, 41340, 14082, 33, 26730
9191645
10101671, 40198, 16395, 0, 25001
11012182, 42068, 15797, 31, 24462
11922610, 41439, 15389, 32, 24398
12833115, 41328, 14593, 31, 24678
13743706, 41808, 16011, 32, 25450
14654033, 41401, 15644, 37, 25500
15564873, 40952, 16560, 32, 25452
16475282, 40857, 16584, 32, 25550
17385693, 40664, 17027, 32, 25850
18296689, 39873, 14826, 29, 25514
137836
1048205, 40682, 15038, 0, 23485
1958890, 41269, 14767, 38, 23985
2869471, 41934, 14701, 35, 24770
3780205, 40882, 17163, 28, 24140
4691201, 42161, 18530, 34, 25881
5601811, 41126, 21139, 34, 25215
6512250, 40812, 21352, 33, 25251
7422668, 38785, 20884, 28, 23643
8333169, 39808, 18087, 33, 24942
9243573, 40826, 14066, 32, 26379
