Clock, Total frames rendered, Janky frames, CPU%, PSS 
298906
1209037, 45527, 8221, 75, 62287
2119576, 44540, 9981, 84, 63112
3030116, 44226, 10505, 85, 65563
3940571, 44338, 10248, 85, 65729
4851031, 44377, 10173, 85, 66002
5761568, 44298, 10315, 85, 63440
6672108, 44299, 10490, 85, 66358
7582591, 44328, 10582, 78, 65135
8493049, 44248, 10578, 85, 66049
9403543, 44162, 10403, 84, 66523
9472129
10382254, 43968, 12694, 0, 90271
11292739, 44491, 10005, 81, 95195
12203225, 44410, 10036, 85, 96000
13113727, 44422, 10146, 82, 96439
14024223, 44054, 10892, 85, 96899
14934684, 46506, 6957, 82, 86107
15845141, 47667, 4783, 66, 83596
16755591, 46122, 8871, 67, 89353
17666110, 44073, 11258, 84, 89309
18576576, 44297, 10344, 76, 85700
18742731
19652837, 43711, 13679, 0, 90386
20563268, 44418, 10162, 86, 89865
21473803, 44282, 10472, 85, 87153
22384283, 44393, 10257, 75, 86866
23294757, 44385, 10282, 85, 88822
24205245, 45646, 8529, 82, 91324
25115672, 47536, 4771, 78, 86567
26026150, 46332, 6709, 67, 92112
26936605, 44461, 10180, 78, 91596
27847059, 44260, 10602, 84, 92369
7552936
8463053, 46249, 2825, 0, 68237
9373520, 46373, 2586, 73, 71504
10283995, 47332, 3090, 75, 67018
11194443, 47397, 3994, 78, 69916
12104874, 47437, 3910, 78, 74246
13015326, 47341, 4257, 78, 74815
13925795, 47069, 4193, 79, 76120
14836319, 46667, 4169, 77, 62870
15746767, 48388, 3045, 69, 60281
16657175, 48181, 3331, 67, 60994
16670422
17580421, 46212, 3418, 0, 68557
18490879, 47068, 3550, 77, 66306
19401317, 46537, 3459, 76, 66405
20311781, 46057, 3495, 75, 73646
21222257, 46788, 3658, 75, 67811
22132713, 47156, 3559, 76, 68604
23043184, 47062, 3409, 76, 68987
23953625, 47092, 3343, 75, 69931
24864051, 47123, 3397, 76, 70552
25774525, 47001, 3570, 75, 70938

250847
1161015, 44616, 9629, 84, 66259
2071514, 44411, 10515, 84, 70440
2981984, 44247, 10545, 85, 70885
3892403, 44282, 10239, 83, 71656
4802883, 44310, 10569, 85, 72277
5713376, 44418, 10259, 84, 72979
6623916, 44446, 10067, 84, 67496
7534368, 44364, 10542, 77, 67983
8444835, 44455, 10395, 85, 68346
9355286, 44435, 10570, 83, 68828
9368365
10278407, 46023, 3607, 0, 67939
11188910, 47159, 3245, 76, 65765
12099354, 47018, 3651, 76, 66228
13009841, 47128, 3561, 75, 67319
13920311, 47143, 3446, 76, 67860
14830841, 47117, 3434, 75, 68269
15741270, 47060, 3688, 76, 62455
16651723, 47013, 3451, 75, 63085
17562156, 47072, 3559, 76, 63893
18472631, 47166, 3403, 77, 64493
18485497
19395507, 46254, 2520, 0, 68295
20305990, 46308, 2689, 73, 71501
21216478, 46295, 2729, 73, 72114
22126940, 46265, 2734, 73, 72492
23037367, 46271, 2700, 73, 73151
23947817, 46241, 2813, 72, 73910
24858247, 47245, 2965, 74, 69181
25768662, 46752, 2660, 74, 69306
26679121, 46557, 2865, 73, 69685
27589559, 47386, 2897, 73, 71109

135268
1045375, 45406, 5667, 78, 66690
1955893, 45399, 5873, 76, 63931
2866410, 45630, 5802, 78, 66157
3776862, 46517, 4694, 77, 60612
4687346, 46448, 4939, 78, 61425
5597818, 46540, 4800, 77, 61920
6508364, 46452, 4682, 78, 62450
7418874, 46633, 4642, 77, 63205
8329416, 46564, 4858, 78, 63783
9239993, 46607, 4529, 77, 64178
9253295
10163512, 46396, 3711, 0, 68341
11074326, 47173, 3401, 74, 65884
11985231, 47020, 3271, 75, 66263
12896108, 46092, 3872, 73, 73343
13806577, 46320, 3587, 75, 73141
14717075, 46837, 3613, 73, 61813
15627573, 46148, 3502, 74, 67320
16537994, 46086, 3672, 75, 68066
17448426, 46091, 3725, 75, 69559
18358899, 46069, 3655, 73, 70226
18372257
19282277, 46057, 3821, 0, 67893
20192754, 46119, 3453, 74, 72104
21103308, 46112, 3573, 75, 72028
22013794, 46676, 3564, 74, 66742
22924196, 46950, 3794, 75, 67276
23834703, 46127, 3605, 73, 74473
24745206, 46120, 3619, 75, 75085
25655777, 46707, 3555, 74, 68997
26566290, 46085, 4031, 75, 76284
27476837, 47099, 3523, 75, 70569
