Number of frames; Number of GPUTask; nb of RunTask
180; 463; 2978
174; 448; 2915
174; 450; 2883
175; 447; 2997
177; 458; 3019
159; 408; 2682
180; 456; 2992
165; 432; 2781
178; 451; 2933
176; 454; 3016
169; 431; 2894
143; 372; 2471
165; 423; 2717
159; 409; 2651
165; 421; 2818
152; 394; 2547
171; 446; 2935
199; 505; 3329
166; 426; 2758
171; 437; 2849
184; 464; 3168
178; 455; 3052
142; 369; 2488
110; 283; 1890
160; 407; 2742
167; 424; 2843
165; 422; 2868
166; 420; 2861
162; 412; 2791
166; 422; 2899
166; 422; 2928
165; 422; 2921
149; 381; 2613
163; 413; 2889
152; 389; 2641
163; 413; 2930
159; 404; 2780
148; 379; 2595
126; 328; 2260
145; 372; 2521
159; 406; 2783
154; 392; 2651
159; 405; 2809
151; 383; 2651
162; 412; 2859
153; 386; 2617
149; 380; 2599
164; 415; 2860
136; 350; 2356
158; 410; 2734
182; 465; 3119
192; 491; 3263
189; 479; 3208
111; 289; 1966
171; 432; 2957
157; 400; 2732
137; 356; 2400
147; 372; 2612
157; 399; 2743
158; 404; 2784
146; 374; 2478
144; 371; 2576
106; 277; 1918
154; 393; 2674
169; 429; 2911
150; 389; 2685
135; 352; 2337
145; 374; 2466
149; 377; 2668
163; 413; 2819
165; 416; 2851
148; 375; 2544
152; 389; 2620
151; 387; 2691
150; 387; 2619
146; 377; 2581
146; 375; 2605
163; 414; 2851
165; 419; 2869
161; 410; 2742
165; 416; 2799
147; 380; 2540
131; 340; 2331
133; 342; 2311
167; 424; 2837
170; 432; 2894
165; 419; 2842
75; 211; 1342
170; 433; 2819
158; 402; 2693
154; 396; 2592
155; 396; 2619
156; 402; 2715
161; 413; 2814
158; 402; 2759
165; 422; 2822
92; 244; 1610
146; 375; 2416
103; 272; 1721
92; 254; 1567
156; 397; 2796
164; 412; 2905
170; 432; 3027
157; 396; 2776
155; 393; 2749
161; 407; 2851
157; 399; 2773
152; 397; 2710
155; 399; 2770
158; 411; 2779
150; 387; 2698
154; 396; 2760
154; 399; 2750
156; 399; 2820
159; 401; 2755
163; 416; 2896
146; 377; 2600
166; 419; 2906
165; 418; 2902
165; 417; 2913
159; 409; 2773
166; 421; 2884
154; 388; 2758
160; 412; 2824
162; 407; 2855
162; 410; 2869
153; 394; 2669
155; 399; 2730
159; 401; 2799
163; 422; 2903
159; 411; 2780
156; 394; 2737
150; 389; 2629
145; 378; 2638
149; 381; 2636
141; 372; 2479
157; 404; 2725
152; 397; 2658
158; 407; 2767
162; 408; 2834
156; 400; 2698
156; 403; 2726
160; 414; 2812
156; 400; 2722
160; 408; 2842
164; 418; 2878
168; 418; 2919
148; 390; 2601
149; 382; 2639
137; 357; 2415
156; 395; 2786
159; 404; 2837
158; 400; 2814
115; 311; 2048
161; 410; 2849
139; 362; 2409
167; 425; 2941
163; 411; 2890
169; 425; 2916
154; 387; 2701
165; 422; 2937
155; 393; 2723
150; 380; 2640
167; 428; 2935
159; 409; 2794
150; 390; 2672
158; 397; 2821
157; 399; 2739
120; 324; 2023
162; 409; 2664
152; 387; 2597
153; 393; 2615
159; 399; 2648
158; 404; 2644
164; 410; 2762
163; 417; 2751
159; 403; 2679
167; 421; 2743
151; 388; 2586
160; 412; 2692
162; 412; 2686
155; 401; 2633
162; 414; 2722
148; 377; 2536
160; 400; 2635
128; 345; 2201
165; 422; 2766
169; 429; 2800
158; 402; 2654
154; 396; 2548
155; 394; 2583
156; 393; 2628
165; 420; 2768
151; 385; 2551
146; 372; 2466
159; 403; 2648
158; 398; 2663
154; 392; 2596
163; 420; 2741
161; 408; 2682
81; 207; 1541
85; 217; 1611
84; 210; 1552
83; 210; 1566
82; 208; 1547
86; 217; 1615
72; 185; 1388
78; 198; 1484
78; 205; 1490
75; 190; 1431
90; 230; 1716
83; 210; 1572
84; 212; 1586
74; 187; 1400
84; 212; 1573
86; 219; 1621
76; 192; 1438
79; 200; 1499
83; 210; 1561
82; 208; 1549
82; 208; 1553
78; 198; 1472
83; 210; 1568
82; 208; 1546
84; 212; 1590
88; 223; 1654
82; 207; 1558
87; 220; 1646
86; 220; 1632
82; 210; 1563
83; 210; 1568
73; 185; 1385
73; 187; 1395
79; 200; 1494
83; 211; 1572
78; 197; 1475
85; 215; 1601
86; 218; 1618
84; 212; 1587
84; 210; 1566
83; 210; 1575
81; 205; 1530
78; 198; 1475
82; 207; 1553
86; 217; 1623
86; 218; 1625
85; 215; 1597
89; 223; 1657
79; 200; 1493
83; 210; 1583
87; 223; 1649
78; 198; 1475
85; 217; 1608
85; 215; 1600
81; 202; 1502
79; 200; 1490
82; 206; 1531
81; 205; 1527
81; 205; 1523
79; 200; 1493
84; 211; 1570
84; 212; 1573
83; 210; 1577
86; 219; 1644
84; 215; 1603
83; 207; 1562
87; 220; 1651
80; 203; 1500
78; 197; 1478
84; 213; 1576
77; 195; 1451
82; 207; 1556
84; 213; 1590
84; 213; 1589
83; 210; 1567
82; 208; 1547
80; 203; 1512
81; 206; 1538
82; 208; 1553
80; 202; 1517
77; 195; 1458
71; 180; 1348
81; 206; 1526
80; 202; 1518
83; 210; 1572
80; 203; 1525
87; 220; 1652
74; 192; 1430
91; 232; 1723
82; 209; 1533
79; 200; 1488
80; 206; 1498
89; 225; 1678
79; 200; 1494
84; 213; 1583
85; 215; 1610
85; 215; 1599
80; 203; 1521
85; 215; 1612
81; 205; 1538
42; 107; 808
42; 108; 807
41; 105; 789
43; 110; 826
44; 112; 844
38; 97; 743
42; 108; 809
39; 100; 761
43; 108; 800
39; 100; 754
39; 100; 768
32; 83; 631
41; 105; 790
46; 115; 860
42; 108; 799
42; 108; 809
38; 96; 713
41; 105; 780
39; 100; 752
37; 95; 714
39; 100; 752
40; 102; 769
39; 100; 755
39; 100; 757
45; 115; 880
