Exp; Number of frames; Total nb of frames; Number of BeginFrame; Number of RequestMainThreadFrame; Number of BeginMainThreadFrame; Number of ActivateLayerTree; Number of DrawFrame; nb of SwapBuffers
20; 538; 538; 595; 383; 383; 301; 594; 593
20; 537; 537; 595; 388; 388; 290; 595; 594
20; 538; 538; 595; 384; 384; 295; 594; 593
20; 516; 517; 597; 384; 384; 287; 593; 591
20; 523; 524; 597; 389; 389; 289; 595; 595
20; 541; 542; 598; 381; 381; 288; 595; 595
20; 534; 534; 596; 387; 387; 291; 595; 595
20; 531; 531; 598; 391; 391; 303; 595; 595
20; 541; 542; 598; 381; 381; 293; 596; 596
50; 546; 547; 597; 374; 374; 275; 595; 594
50; 541; 541; 595; 383; 383; 278; 593; 593
50; 530; 531; 597; 356; 356; 273; 594; 593
50; 551; 551; 597; 371; 371; 268; 594; 594
50; 542; 542; 595; 370; 370; 278; 594; 592
50; 536; 537; 598; 366; 366; 266; 595; 594
50; 546; 546; 594; 353; 353; 270; 593; 592
50; 544; 544; 595; 368; 368; 270; 595; 594
50; 546; 547; 596; 376; 376; 278; 595; 594
100; 507; 507; 599; 309; 309; 235; 594; 594
100; 512; 513; 598; 337; 336; 258; 594; 594
100; 511; 512; 598; 315; 315; 242; 594; 593
100; 555; 555; 597; 339; 339; 264; 596; 595
100; 555; 555; 598; 336; 336; 255; 596; 596
100; 550; 550; 595; 341; 341; 266; 594; 593
100; 552; 553; 597; 331; 331; 246; 596; 595
100; 543; 543; 596; 328; 328; 255; 594; 593
100; 551; 552; 598; 336; 336; 260; 595; 595
500; 525; 545; 570; 241; 240; 208; 533; 533
500; 529; 547; 561; 238; 238; 207; 532; 532
500; 532; 551; 570; 240; 240; 208; 539; 539
500; 538; 555; 571; 250; 250; 217; 541; 541
500; 527; 547; 563; 249; 249; 216; 532; 532
500; 534; 552; 568; 228; 228; 198; 539; 538
500; 530; 548; 569; 247; 247; 213; 535; 535
500; 534; 553; 570; 254; 253; 218; 538; 538
500; 531; 549; 564; 244; 244; 207; 535; 534
1000; 366; 439; 475; 220; 220; 201; 379; 379
1000; 361; 440; 473; 217; 217; 198; 378; 378
1000; 366; 446; 474; 212; 212; 194; 379; 379
1000; 371; 448; 477; 217; 217; 194; 381; 380
1000; 362; 441; 472; 216; 216; 195; 374; 372
1000; 369; 442; 470; 207; 207; 187; 382; 382
1000; 363; 445; 474; 214; 214; 200; 379; 377
1000; 363; 444; 475; 211; 211; 190; 379; 378
1000; 364; 439; 467; 208; 208; 188; 376; 375
manual; 539; 550; 587; 502; 504; 317; 562; 559
manual; 494; 510; 566; 509; 510; 302; 546; 544
manual; 458; 473; 571; 514; 514; 305; 523; 522
manual; 489; 503; 582; 524; 527; 311; 550; 549
manual; 510; 521; 587; 524; 526; 313; 566; 563
manual; 537; 542; 597; 537; 538; 329; 584; 582
manual; 515; 523; 587; 547; 546; 374; 573; 572
manual; 502; 514; 592; 514; 519; 308; 554; 550
manual; 487; 508; 571; 498; 503; 312; 537; 531
