Name; Browser; Renderer; GPU Process; cpuTime (%); cpuSampling (%); Sum dumpsys
16ms; 0.9; 34; 17; 86.12262342281691; 75.48586572438161; 0.91734
16ms; 1; 37; 19; 83.32566286476617; 76.56104380242313; 11937
16ms; 1.1; 36; 20; 89.2973275291968; 75.41284403669725; 1.12036
16ms; 1.2; 37; 19; 81.56470260236888; 76.70930745478606; 1.21937
16ms; 1.2; 37; 19; 84.32706531912324; 78.94033837934104; 1.21937
16ms; 1.2; 37; 19; 86.67517712032357; 74.61538461538461; 1.21937
16ms; 1; 37; 18; 88.68985724746938; 73.224043715847; 11837
16ms; 1; 36; 18; 88.461474202294; 72.33712512926577; 11836
16ms; 1.1; 37; 19; 87.24127965491165; 79.2620270901448; 1.11937
16ms; 1.1; 36; 19; 80.2391655616503; 80.14739751266697; 1.11936
16ms; 1; 38; 19; 81.93987975468696; 79.10028116213684; 11938
16ms; 1.1; 37; 19; 82.12739881894; 72.92122538293215; 1.11937
16ms; 1; 38; 19; 90.03924476966849; 73.94997640396413; 11938
16ms; 1.3; 37; 19; 86.34763499051368; 77.84935579781961; 1.31937
16ms; 1; 36; 19; 84.99746952479242; 75.57673019057171; 11936
16ms; 1.2; 37; 20; 87.0045314689124; 67.70731707317074; 1.22037
16ms; 1.2; 37; 19; 88.33176797698519; 77.91353383458647; 1.21937
16ms; 1.1; 37; 18; 83.16078476400598; 81.88314417822615; 1.11837
16ms; 1; 36; 18; 88.7102244294835; 76.19286790557508; 11836
16ms; 1.1; 37; 19; 81.82981680543; 77.96143250688705; 1.11937
16ms; 1.1; 37; 19; 82.81709258378432; 80.44788975021532; 1.11937
16ms; 1; 38; 19; 80.70177067835054; 79.59183673469389; 11938
16ms; 1; 38; 19; 82.41395385238546; 73.81193124368049; 11938
16ms; 1.2; 38; 19; 91.52217043542012; 65.04599211563732; 1.21938
16ms; 1.2; 37; 19; 83.95984971839067; 76.83158896289248; 1.21937
16ms; 1.1; 37; 19; 83.11433089009586; 80.93315388066398; 1.11937
16ms; 1; 38; 19; 82.41276277832932; 80.20304568527919; 11938
16ms; 1.2; 37; 19; 81.34124642446335; 81.3047285464098; 1.21937
16ms; 1.1; 38; 19; 86.07267328968804; 83.15088053307949; 1.11938
16ms; 1.2; 37; 19; 85.76646204925865; 82.57101588830044; 1.21937
16ms; 1.1; 37; 19; 84.22756995515608; 83.21708805579773; 1.11937
16ms; 1; 38; 19; 83.95277120726774; 80.86167800453515; 11938
16ms; 1.2; 37; 19; 83.0259397555565; 76.56635421805625; 1.21937
16ms; 1.2; 38; 19; 82.2832730198738; 77.82222222222222; 1.21938
16ms; 1.3; 38; 19; 86.66762101162915; 81.45363408521304; 1.31938
16ms; 1.2; 37; 19; 84.4650217734886; 79.75871313672923; 1.21937
16ms; 1.2; 37; 19; 79.54551580294918; 79.93542435424355; 1.21937
16ms; 1.1; 38; 19; 85.3624132074575; 80.96885813148789; 1.11938
16ms; 1.2; 37; 19; 87.06533814282785; 76.1211415259173; 1.21937
16ms; 1.2; 37; 19; 80.36431128295303; 75.71361722040243; 1.21937
16ms; 1.3; 36; 19; 83.83519714585202; 77.29447585906917; 1.31936
16ms; 1.1; 37; 19; 85.644720305832; 80.71017274472169; 1.11937
16ms; 1; 38; 19; 86.79969924413817; 80.78291814946618; 11938
16ms; 1.1; 38; 19; 88.71262323842845; 80.82393330063756; 1.11938
16ms; 1.1; 38; 19; 78.97586413510484; 77.84066173269481; 1.11938
16ms; 1.1; 38; 19; 82.71394607729965; 79.68823807274444; 1.11938
16ms; 1; 35; 18; 86.17536939810996; 78.66790870982767; 11835
16ms; 1.1; 37; 19; 84.65322765389917; 81.203007518797; 1.11937
16ms; 1.1; 37; 19; 81.47587566776942; 74.64324917672886; 1.11937
16ms; 1.2; 38; 19; 85.8736480052958; 76.91911385883566; 1.21938
16ms; 1.2; 37; 19; 86.10961188633635; 82.25032708242477; 1.21937
16ms; 1.1; 36; 19; 84.57799194473145; 83.93413440142412; 1.11936
16ms; 1.3; 37; 19; 82.66566684580268; 79.88482106129165; 1.31937
16ms; 1; 38; 19; 86.49860318994304; 77.04722056186492; 11938
16ms; 1.1; 36; 18; 84.13257878599497; 79.55654101995566; 1.11836
16ms; 1; 37; 18; 81.89078626949679; 77.97252486972998; 11837
16ms; 0.9; 34; 15; 83.83918946530255; 73.94957983193278; 0.91534
